No.	question	answer	option2	option3	option4	explanation	datail / background
受動態	「それらのペンは彼に使われましたか？」の( )に入る、過去の疑問文を作る語はどれですか？「( ) those pens used by him?」	Were	Was	Are	Did	主語が複数形のthose pensで、過去の受動態の疑問文にするにはWereを文頭に出すからです。	受動態の疑問文はbe動詞を前に出します。主語が単数か複数かをまず確認するのがコツです。
受動態	「その車は彼に購入されませんでした」の( )に入る否定語はどれですか？「The car ( ) bought by him.」	wasn't	didn't	not	won't	過去の受動態を否定にする際は、be動詞（was）の後ろにnotを置くルールがあるからです。	didn'tは一般動詞の文で使う語です。受動態はbe動詞のルールに従って否定文を作ります。
受動態	「その箱は息子によって開けられるかもしれません」の( )に入る助動詞はどれですか？「The box ( ) be opened by my son.」	may	is	was	can	「〜かもしれない」という推測の意味を付け加えるには、助動詞mayを受動態に組み合わせるからです。	助動詞を加える場合、語順は「助動詞＋be＋過去分詞」となります。
受動態	「その箱はクッキーでいっぱいでした」の( )に入る前置詞はどれですか？「The box was filled ( ) cookies.」	with	by	at	of	be filled with（〜で満たされている）という表現で、by以外の前置詞を使う決まりだからです。	fill（満たす）の受動態ではwithを使います。熟語としてまとめて覚えてしまうのが効率的です。
受動態	「彼はその車に興味を持っています」の( )に入る前置詞はどれですか？「He is interested ( ) the car.」	in	at	with	by	interest（興味を持たせる）の受動態で「興味がある」と言う際、前置詞はinを使うと決まっているからです。	受動態ですが、形容詞のように使われる慣用表現です。by以外の前置詞inに注意しましょう。
受動態	「日本で日本語が話されています」のように、動作主が一般の人（人々）の場合、文末はどうするのが一般的ですか？	by peopleを省略する	by peopleを必ず書く	people is spokenにする	people speakedにする	動作主が一般の人や、言わなくても明らかな場合は、by＋動作主を省略するのが自然だからです。	日本語でも「日本人は〜」と言わず「〜されています」と言うのと似た感覚で省略されます。
受動態	助動詞mustを使った「果物はカットされるにちがいない」の正しい語順はどれですか？	must be cut	be must cut	must cut be	cut be must	受動態に助動詞を足す時は、助動詞の後ろに原形のbeを置き、その後に過去分詞を続けるからです。	cutの過去分詞形は原形と同じcutである点も、初心者の方が間違いやすいポイントです。
受動態	「その車は彼によって購入されるかもしれない」を否定文にする際、notを置く場所はどこですか？	mayの直後	beの直後	boughtの直後	文の最後	助動詞が含まれる文を否定にする際は、助動詞（may）のすぐ後ろにnotを置くルールがあるからです。	「may not be 過去分詞」の形になります。助動詞のルールが優先されることに注目しましょう。
不定詞	文中の不定詞が「〜すること」と訳されるのはどれですか？「My dream is ( ) a pilot.」	to become	become	becoming	became	文中で補語（C）として働き、名詞と同じ役割をする「名詞的用法」だからです。+1	名詞的用法は主語、補語、目的語になり、「〜すること」と訳します。
不定詞	不定詞が直前の名詞を詳しく説明する表現はどれですか？「I have many things ( ) today.」	to do	do	doing	done	「〜すべき…」という意味で、直前の名詞（things）を後ろから修飾する「形容詞的用法」だからです。+1	英語では2語以上のセットで名詞を修飾する場合、必ず名詞の後ろに置くルールがあります。
不定詞	文中の不定詞が「〜するために」という目的を表すのはどれですか？「I got up early ( ) study.」	to	for	so	in	動詞（got up）を修飾し、動作の目的や理由を説明する「副詞的用法」だからです。+1	副詞的用法には「目的」の他に、感情の原因（〜して）や判断の根拠（〜するなんて）の意味もあります。
不定詞	「あなたにここに来てほしい」という希望を表すのに適切な形はどれですか？「I want ( ) here.」	you to come	you come	your coming	for you to come	「want 人 to do」で「（人）に〜してほしい」という第5文型（SVOC）の形を作るからです。+1	want to doだと「自分が〜したい」ですが、間に人を挟むことで「誰に〜してほしいか」を指定できます。
不定詞	「この川で泳ぐことは危険だ」をItから始める文にする際、( )に入るのはどれですか？「It is dangerous ( ) in this river.」	to swim	swim	swimming	swam	主語が長くなるのを避けるため、形式上の主語Itを置き、真の主語を後ろに回す「形式主語構文」だからです。+2	形式主語のit自体は日本語に訳しません。英語は結論（危険だ）を先に言うことを好みます。+1
不定詞	「彼がその箱を運ぶのは簡単だ」と言う際、( )に入る語は何ですか？「It is easy ( ) him to carry the box.」	for	of	to	at	不定詞の動作主（誰が運ぶのか）を具体的に示す場合、「for + 人」を不定詞の前に置くルールだからです。+3	一般の人にとっての事柄ではなく、特定の人物の動作であることを表す際に「意味上の主語」を用います。+1
不定詞	「私を助けてくれるなんて、あなたは親切ですね」の( )に適するのはどれですか？「It is kind ( ) you to help me.」	of	for	with	to	人の性質や性格を評価する形容詞（kindなど）が使われる場合、意味上の主語にはforではなくofを用いるからです。+2	kind, nice, wiseのように「その人がどんな人か」を述べる形容詞の時はofを使う点に注意が必要です。+1
不定詞	依頼の表現「彼に私を手伝うよう頼んだ」として正しいものはどれですか？「I asked ( ) me.」	him to help	him helping	to him help	him help	「ask 人 to do」という形で「人に〜するように頼む」という第5文型の構造をとるからです。+1	tell 人 to do（言う）やadvise 人 to do（忠告する）も、同じ不定詞のパターンをとる重要な動詞です。
不定詞	「何をすべきか」という名詞の役割をする塊として適切なのはどれですか？「I don't know ( ).」	what to do	what do	how to do	to do what	「疑問詞 + to不定詞」で、文中で目的語などの役割をする名詞句を作ることができるからです。+1	how to do（やり方）、where to go（どこへ行くべきか）などのバリエーションも頻出です。
不定詞	「彼は私にその仕事をさせた」と強制のニュアンスで言う際、( )に入る形はどれですか？「He made me ( ) the work.」	do	to do	doing	done	使役動詞makeの後ろに不定詞を置く場合、toを付けない「原形不定詞」にする規則があるからです。+1	使役動詞make, have, letの後ろでは、to不定詞ではなく動詞の原形を置くのが最大の特徴です。
不定詞	「少年が通りを渡るのを見た」という知覚の表現で適切なのはどれですか？「I saw a boy ( ) the street.」	cross	to cross	crossed	crosses	see（見る）などの知覚動詞の後ろでは、補語となる不定詞からtoを省いた「原形不定詞」を用いるからです。	hear（聞く）、feel（感じる）も知覚動詞の仲間であり、同様に原形不定詞を伴います。
不定詞	「あまりに疲れていて動けない」という否定の意味を含む構文はどれですか？「I am ( ) tired to move.」	too	very	so	enough	「too 〜 to …」という形で「あまりに〜なので…できない」という強い否定の意味を表すからです。+1	否定語のnotがなくても「できない」という意味になるのが、この構文の重要なポイントです。
不定詞	「その試験に合格するほど十分熱心に勉強した」の( )に入る語はどれですか？「He studied hard ( ) to pass the exam.」	enough	too	so	as	「形容詞・副詞 + enough to do」で「〜するほど十分に…だ」という肯定的な程度を表すからです。+1	enoughを置く位置に注意が必要です。形容詞や副詞の「後ろ」に置かれます。
不定詞	「その列車は昨夜出発する予定でした」をbe to構文で表した際、( )に入る語は何ですか？「The train ( ) to leave last night.」	was	is	been	has	be動詞 + to不定詞には「予定」や「運命」など5つの特別な意味があり、過去形にすることで過去の予定を表せるからです。+1	他にも義務（〜すべきだ）、可能（〜できる）、意図（〜するつもりだ）などの意味があります。
不定詞	「彼は以前、金持ちだったようだ」と現在の推測より前の状態を表す正しい形はどれですか？「He seems ( ) rich.」	to have been	to be	being	have been	主節の時制（seems：現在）より古い内容（かつて金持ちだった）を表すには、完了不定詞を用いるからです。+2	「to have + 過去分詞」の形をとることで、1つ古い時制（過去や大過去）の内容を表現できます。+2
不定詞	「私は、彼がそのテストに合格することは可能だと思う」の( )に適するのはどれですか？「I think ( ) possible that he passes the test.」	it	that	this	so	目的語が長い節（that節）や不定詞の場合、一時的にitを置き、内容を後ろに回す「形式目的語」の構文だからです。+2	主にfind, make, thinkなどの動詞で使われ、SVOCの第5文型を構成します。+1
不定詞	「彼は金持ちのようだ」をItから始まる文に書き換える際、( )に入る語はどれですか？「( ) seems that he is rich.」	It	He	That	There	「S seem to do」は「It seems that + 節」という形式主語を用いた文に書き換えることができるからです。+1	seem toの後ろは動詞の原形、thatの後ろは「主語 + 動詞」の文が続くという構造の違いがあります。+1
不定詞	「彼は彼女に愛されたいと思っている」とするのに適切な受動態の不定詞はどれですか？「He wants ( ) by her.」	to be loved	to love	to be love	to loved	不定詞（to do）と受動態（be 過去分詞）を組み合わせることで「〜されること」という意味になるからです。+1	意味が受動（愛される）になる場合は「to be 過去分詞」の形をセットで使います。
不定詞	「実を言うと」という慣用的な不定詞の表現はどれですか？「( ), I don't like him.」	To tell the truth	To speak the truth	In order to tell	To be sure	文全体を修飾する「独立不定詞」と呼ばれる熟語のような慣用表現だからです。	他にもso to speak（いわば）、to make matters worse（さらに悪いことに）などがあります。
不定詞	「私は彼がその仕事をするのを手伝った」と言う際、( )のどちらも使える動詞はどれですか？「I helped him ( ) (to) do the work.」	help	make	get	have	helpという動詞は、後ろに「to不定詞」と「原形不定詞」の両方を置くことができる特別な性質があるからです。+1	現代英語ではtoを省いた原形不定詞の形がより好まれる傾向にあります。
動名詞	「甘いものを食べたい気分だ」と今の気分を表す際、( )に入る適切な形はどれですか？「I feel like ( ) sweets.」	eating	to eat	eat	ate	「feel like ～ing」で「～したい気がする」という慣用表現になるからです。	feelの後ろに不定詞（to eat）を置くことはできません。動名詞をセットで覚えるのがコツです。
動名詞	「本当のことを言うことはできない」という不可能の意味を持つ表現はどれですか？「There is no ( ) the truth.」	telling	to tell	tell	told	「There is no ～ing」で「～することはできない」という不可能を表すからです。	It is impossible to tell と同じ意味になります。会話よりも書き言葉でよく使われる表現です。
動名詞	「その映画は見に行く価値がある」とする際、( )に入る適切な形はどれですか？「This movie is worth ( ).」	watching	to watch	watch	watched	「be worth ～ing」で「～する価値がある」という決まった言い方があるからです。	worthの後ろに不定詞は置けません。動名詞を置くことでその動作の価値を説明します。
動名詞	「私は泣かずにはいられなかった」と、感情を抑えられない時の正しい表現はどれですか？「I could not help ( ).」	crying	to cry	cry	cried	「cannot help ～ing」で「～せずにはいられない」という強い感情を表すからです。	helpには「避ける」という意味があり、直訳すると「泣くことを避けられない」となります。
動名詞	「覆水盆に返らず（済んだことを悔やんでも無駄だ）」という諺に合う表現はどれですか？「It is no use ( ) over spilled milk.」	crying	to cry	cry	cried	「It is no use ～ing」で「～しても無駄だ」という慣用表現になるからです。	doingの代わりに「in vain」などは使いません。形を丸ごと覚えてしまうのが効率的です。
動名詞	「窓を閉めていただけますか？」と丁寧に頼む際、( )に入る形は何ですか？「Would you mind ( ) the window?」	closing	to close	close	closed	mind（嫌に思う）の目的語には不定詞ではなく動名詞を置く決まりがあるからです。	この問いに「いいですよ（閉めますよ）」と答える時は、No（嫌じゃありません）と言う点に注意です。
動名詞	「私はそこへ行かないと主張した」と動名詞を否定する場合、notを置く正しい位置はどこですか？	goingの直前	insistedの直後	onの直前	文の最後	動名詞を否定する時は、動名詞（～ing）の直前に否定語のnotやneverを置くルールだからです。	「on not going」の語順になります。動詞の否定（don't）と混同しないようにしましょう。
動名詞	「私は叱られるのを恐れている」と受動の意味にする際、適切な形はどれですか？「I am afraid of ( ).」	being scolded	scolding	to be scolded	been scolded	動名詞の受動態は「being + 過去分詞」の形で「～されること」という意味を作るからです。	自分が叱るのではなく、誰かに叱られる（受身）なのでbeingが必要です。
動名詞	「息子が嘘をつかないことを誇りに思う」と言う際、意味上の主語と否定語の正しい語順はどれですか？	her son not telling	not her son telling	her son telling not	not telling her son	意味上の主語（her son）を否定語（not）の前に置き、その後に動名詞を続けるからです。	「（人）＋ not ＋ ～ing」の形になります。誰が（主語）何をしない（否定）かを順番に並べます。
動名詞	「遅刻したことを（今）恥じている」と、過去の出来事を表す動名詞の形はどれですか？「I am ashamed of ( ) late.」	having been	being	have been	to have been	主節（恥じている：現在）より古い内容（遅刻した：過去）を表すには「having + 過去分詞」を用いるからです。	単にbeingとすると「今、遅刻していることを（今）恥じている」という同時刻の意味になります。
動名詞	「家に帰るとすぐに、私は手を洗った」と言う際、( )に入る前置詞は何ですか？「( ) going home, I washed my hands.」	On	In	At	By	「On ～ing」で「～するとすぐに」という、動作の直後を表す慣用表現になるからです。	As soon as I went home と書き換えることができます。
動名詞	「料理をする時に、私はこのナイフを使う」と言う際、( )に入る適切な前置詞はどれですか？「( ) cooking, I use this knife.」	In	On	At	By	「In ～ing」で「～する時に（～している間に）」という同時並行の状況を表すからです。	When I cook と同じ意味になります。作業中の状況を説明する際に使われます。
動名詞	「彼女は夕食を作るのに忙しい」と言う際、適切な形はどれですか？「She is busy ( ) dinner.」	cooking	to cook	cook	cooked	「be busy (in) ～ing」で「～するのに忙しい」という状態を表すからです。	busyの後ろに不定詞（to cook）を置くのは間違いです。inは省略されるのが一般的です。
動名詞	「この車は修理する必要がある」と言う際、動名詞の特殊な用法として適切なのはどれですか？「This car needs ( ).」	repairing	to repair	repaired	being repaired	needの後ろに動名詞を置くと、形は能動態でも「～される必要がある」と受動の意味になるからです。	needs to be repaired と同じ意味ですが、動名詞一語で表すほうが簡潔で好まれます。
動名詞	「彼女に会うと必ずこの手紙を思い出す」という「～すれば必ず…する」を表す正しい組み合わせはどれですか？	cannot ... without ～ing	cannot ... with ～ing	never ... during ～ing	never ... for ～ing	「cannot（never） ... without ～ing」で「～すれば必ず…する」という二重否定の慣用句だからです。	直訳は「～することなしに…することはない」となり、強い習慣を表します。
動名詞	「私は、彼がその試験に合格することを確信している」を動名詞で表す際、正しい形はどれですか？	I'm sure of him passing.	I'm sure that him passing.	I'm sure of him to pass.	I'm sure to him passing.	前置詞ofの後ろに、意味上の主語（him）と動名詞（passing）を並べて置くからです。	ofの後ろに節（S+V）は置けないため、動名詞のカタマリにして目的語にします。
動名詞	「彼は、学校に遅刻したことを（昨日）恥じていました」という過去の時点より前の内容を表す形はどれですか？	having been	being	to be	was	主節（恥じていた：過去）よりさらに前（大過去）の出来事を示すには、完了形動名詞を用いるからです。	時制が一つズレる場合に「having + 過去分詞」を使うというルールは不定詞とも共通しています。
動名詞	「タバコを吸うのをやめていただけますか？」と聞かれ、「いいですよ（吸いません）」と答える際の正しい言葉はどれですか？	No, not at all.	Yes, I will.	Yes, of course.	No, I mind.	mindは「嫌だと思う」という意味なので、Noと答えることで「嫌ではありません」という承諾になるからです。	日本人が最も間違えやすいポイントです。Yesと答えると「嫌です（やめません）」となります。
動名詞	「率直に言って、私は彼が好きではない」という文全体を修飾する不定詞に近い役割の動名詞表現はどれですか？	Frankly speaking	To be frank	To tell the truth	In fact	「Frankly speaking」は慣用的な分詞構文に近い表現ですが、独立して文を修飾する役割を持つからです。	提示資料にある「to be frank with you」の不定詞版と同じ意味で使われます。
動名詞	「私は彼がその仕事をすることを手伝った」とする際、動名詞を使うならどの前置詞が必要ですか？	help him in doing	help him to doing	help him with doing	help him for doing	help 人 in ～ing という形で「人が～するのを手伝う」というプロセスを説明できるからです。	提示資料の不定詞（help 人 to do）との書き換えとして、前置詞inが使われることがあります。
分詞	「私は本を読みながら座っていた」とする際、( )に入る適切な形はどれですか？「I sat ( ) a book.」	reading	to read	read	to reading	主語（I）が「読んでいる」という能動の状態を説明する主格補語が必要だからです。	主語の状態を説明する分詞を主格補語と呼びます。sitやstandなどの動詞と一緒に使われます。
分詞	「あそこで眠っている少年を見て」と言う際、( )に入る正しい語はどれですか？「Look at the ( ) boy over there.」	sleeping	sleep	slept	to sleep	「〜している」という能動の意味で、１語で名詞を前から修飾する場合は現在分詞を用いるからです。	分詞が１語で名詞を修飾する場合は、通常の形容詞と同じように名詞の前に置くルールがあります。
分詞	「プールで泳いでいる少女は私の妹です」と言う際、空所に適するのはどれですか？「The girl ( ) in the pool is my sister.」	swimming	swim	swum	to swim	「泳いでいる」という動作が他の語（in the pool）を伴い、後ろから名詞を修飾する形だからです。	２語以上のセットで名詞を詳しく説明する場合、英語では必ず名詞の後ろに置くという規則があります。
分詞	「彼によって買われたCDは机の上にあります」と言う際、( )に入る形はどれですか？「The CD ( ) by him is on the desk.」	bought	buying	buy	to buy	CDは「買われる」という受け身の関係なので、過去分詞を使って後ろから修飾するからです。	名詞と分詞の関係が「〜される」という受動の場合は過去分詞、 「〜している」という能動なら現在分詞です。
分詞	「私は彼女が公園で走っているのを見た」と言う際、( )に入る適切な形はどれですか？「I saw her ( ) in the park.」	running	run	ran	to run	目的語（her）が「走っている」ところを説明する目的格補語として現在分詞を用いるからです。	知覚動詞seeなどは「Oが〜しているのを見る」という進行中の動作を強調する際にing形をとります。
分詞	「私は彼女が先生に呼ばれているのを見た」と言う際、( )に入る形はどれですか？「I saw her ( ) by the teacher.」	called	calling	call	to call	目的語（her）が「呼ばれる」という受け身の関係にあることを説明する過去分詞が必要だからです。	知覚動詞の文でも、目的語と補語の関係が受け身であれば、補語には過去分詞を置くのが正解です。
分詞	「彼女は水を出しっぱなしにして料理をしていました」の( )に入る語は何ですか？「She was cooking with water ( ).」	running	run	ran	to run	水が自ら「流れている」という能動の関係なので、現在分詞を用いて付帯状況を表すからです。	「with + 名詞 + 分詞」で「〜の状態のまま」という意味になります。水は自然に流れるのでing形です。
分詞	「彼は腕を組んで立っていました」とする際、( )に入る適切な形はどれですか？「He was standing with his arms ( ).」	folded	folding	fold	to fold	腕（arms）は人の意志で「組まれる」ものなので、受け身の関係を表す過去分詞を用いるからです。	体の一部が付帯状況の「名詞」にくる場合、その部位が「される」動作なら過去分詞を選ぶのがコツです。
分詞	「病院で怪我をした人々を見ました」と言う際、( )に入る適切な語は何ですか？「I saw the ( ) in the hospital.」	injured	injure	injuring	to injure	「the + 分詞」で「〜な人々」という名詞の役割を果たすことができるからです。	the injuredはinjured peopleと同じ意味になります。過去分詞ですが「怪我をした人」と訳します。
分詞	「明日は焼けつくような暑さになるだろう」と言う際、( )に入る適切な形は何ですか？「It will be ( ) hot tomorrow.」	roasting	roast	roasted	to roast	現在分詞が形容詞（hot）を修飾し、「焼けつくように」という副詞的な役割を果たすからです。	freezing cold（凍りつくように寒い）なども同様の表現です。分詞が程度を強める役割をします。
分詞	「私は毎週日曜日に泳ぎに行きます」という文として、最も自然なものはどれですか？	I go swimming every Sunday.	I go to swim every Sunday.	I go to swimming every Sunday.	I go swim every Sunday.	「go 〜ing」で「〜しに行く」という、スポーツや娯楽活動を表す慣用表現だからです。	このingは現在分詞とされています。go shopping（買い物に行く）など、日常で頻出する形です。
分詞	「私は彼女を眠らせておいた」と言う際、( )に入る適切な形は何ですか？「I kept her ( ).」	sleeping	sleep	slept	to sleep	彼女（her）が「眠っている」という状態を保つことを表す現在分詞が必要だからです。	keep O C（OをCの状態に保つ）のC（補語）に分詞を置くことで、動作が続いている様子を表せます。
分詞	「彼はドアを閉めたままにしておいた」と言う際、( )に入る正しい語はどれですか？「He left the door ( ).」	closed	closing	close	to close	ドア（door）が「閉められた」という受け身の状態を放置していることを表すからです。	leave O Cで「OをCのままにしておく」という意味になります。ドアと閉めるの関係は受動なのでed形です。
分詞	「彼はみんなに見られて立っていた」とする際、( )に入る適切な形はどれですか？「He stood ( ) by everyone.」	seen	seeing	saw	to see	主語（He）が「見られている」という受け身の状態で立っていることを説明する過去分詞だからです。	自動詞stoodの後ろに過去分詞を置くことで、「〜された状態で立つ」という補語の役割をさせます。
分詞	「（進行中の）踊っている人々」を英語にする際、正しい形はどちらですか？	dancing people	danced people	to dance people	dance people	人々が自ら「踊っている」という能動の進行状態なので、現在分詞で修飾するのが正しいからです。	過去分詞dancedを用いると「踊らされた人々」という不自然な意味になってしまいます。
分詞	「その結果にショックを受けて、彼らは座っていた」とする際、( )に入る語は何ですか？「They sat ( ) at the result.」	shocked	shocking	shock	to shock	彼らが「ショックを与えられた（受けた）」という受動の感情状態を説明する過去分詞だからです。	感情を表す動詞を分詞にする場合、人が主語なら「受動（ed）」、物が主語なら「能動（ing）」が基本です。
分詞	「走っている少年を見た」と言う際、現在分詞の役割として正しい説明はどれですか？	形容詞のように名詞を修飾している	動名詞として目的語になっている	副詞として文全体を修飾している	述語動詞として動作を表している	文中のrunningはboyという名詞を詳しく説明しており、形容詞と同じ働きをしているからです。	形は動名詞と同じing形ですが、名詞を修飾している場合は「現在分詞」と判断します。
分詞	「凍りつくように寒い」という表現で、適切な分詞はどれですか？「( ) cold」	Freezing	Frozen	Freezed	To freeze	寒さの程度を「凍るような」と現在分詞を使って形容詞（cold）を修飾する慣用表現だからです。	burning hot（焼けるように熱い）など、現在分詞が副詞のように機能する特殊な例の一つです。
分詞	「テレビを見ている子供達」と言う際、分詞の位置として正しいものはどれですか？	The children watching TV	The watching TV children	The children watched TV	The watching children TV	２語以上のカタマリ（watching TV）で修飾する場合は、名詞の直後に置かなければならないからです。	１語なら前から、２語以上なら後ろから。分詞の形容詞的用法において最も重要な語順ルールです。
分詞	「彼は新しい車に満足しているように見えた」とする際、( )に入るのはどれですか？「He looked ( ) with his new car.」	satisfied	satisfying	satisfy	to satisfy	彼が「満足させられている（満足している）」という状態を表す過去分詞が必要だからです。	look C（〜に見える）のCに感情の過去分詞を置くことで、人の感情状態を表現できます。
分詞構文	「As I felt tired, I went to bed.」を分詞構文にする際、文頭にくる正しい形はどれですか？	Feeling tired	Felt tired	Feel tired	To feel tired	接続詞と主語を消し、動詞を現在分詞（ing形）にするのが分詞構文の基本ルールだからです。	もとの「～なので」という意味は残したまま、ing形一語で文をスッキリさせる技術です。
分詞構文	「警官を見て、彼は逃げ出した」という時の意味を表す分詞構文の形はどれですか？	Seeing the police	Seen the police	To see the police	Saw the police	「～した時」という接続詞Whenの意味を、現在分詞のing形を使って一語で表しているからです。	分詞構文は、文脈によって「時・理由・条件・譲歩・付帯状況」の5つの意味に使い分けられます。
分詞構文	「何と言ってよいか分からず、彼女は黙っていた」という否定の分詞構文で、正しい語順はどれですか？	Not knowing what to say	Knowing not what to say	Don't knowing what to say	No knowing what to say	分詞構文を否定にする場合は、現在分詞（ing）の直前に否定語のnotを置くルールがあるからです。	助動詞（don'tなど）は使いません。ingのすぐ前にnotを置くだけなので、非常にシンプルな形になります。
分詞構文	「仕事を終えたので、彼は家に帰った」と、主節（帰った）より前の動作を表す際に適切な形はどれですか？	Having finished the work	Finishing the work	Finished the work	To have finished the work	メインの動作よりも「前の出来事」を表すには、完了形の分詞構文（having ＋ 過去分詞）を用いるからです。	時制にズレがあることを示すサインとしてhavingを使います。時間の前後関係をはっきりさせる役割です。
分詞構文	「フランスに2回行ったことがあるので、彼はパリに詳しい」の( )に入る適切な語は何ですか？	Having been	Being	Been	To have been	「～したことがある」という完了（経験）の意味を分詞構文で表す際、完了形の形が必要だからです。	理由を表す接続詞Asの文が現在完了形だった場合、書き換えるとこの完了形の分詞構文になります。
分詞構文	「（以前は）太っていたけれど、今はとても美しい」という譲歩（～だけれども）の分詞構文はどれですか？	Having been fat	Being fat	To be fat	Been fat	過去の事実と現在の状態を対比させる際、時制のズレを示す完了形の分詞構文を使うからです。	分詞構文には「～だけれども」という意外な結果を表す意味（譲歩）も含まれることがあります。
分詞構文	「英語で書かれているので、その本は読むのが難しい」の( )に入る適切な語はどれですか？「( ) in English, the book...」	Written	Writing	Being write	To write	本が「書かれている」という受け身の関係なので、受動態の分詞構文（Being ＋ 過去分詞）になるからです。	受動態の分詞構文では、文頭のBeingが省略されて過去分詞から始まるのが一般的です。
分詞構文	「ここから見ると、その塔は美しく見える」とする際、( )に入る適切な形はどれですか？「( ) from here, the tower...」	Seen	Seeing	To see	Saw	塔が「見られる」という受動の関係（受け身）なので、過去分詞を使って表現するからです。	分詞と主節の主語（塔）の関係が「される」であれば過去分詞、「する」であれば現在分詞を選びます。
分詞構文	「日曜日だったので、店は閉まっていた」という主語が異なる分詞構文の正しい形はどれですか？	It being Sunday	Being Sunday	It been Sunday	Sunday being	主節の主語（店）と接続詞節の主語（It）が異なる場合、省略せずにItを残さなければならないからです。	これを独立分詞構文と呼びます。主語が違うのに消してしまうと意味が通じなくなるためです。
分詞構文	「一晩中テレビをつけっぱなしにして、彼は眠ってしまった」の( )に適する語は何ですか？「With the TV ( ) on...」	running	run	to run	ran	テレビが「作動している（流れている）」という能動の状態を現在分詞で表し、付帯状況を作るからです。	「with ＋ 名詞 ＋ 分詞」の形で「～したまま（付帯状況）」という意味を添えることができます。
分詞構文	「辺りに公園があったけれど、見つけることができません」の( )に入るThere is構文の分詞構文は何ですか？	There being	Being there	There been	There was being	もとの文がThere is/areで始まる場合、Thereを主語のように残して分詞のbeingを続けるルールだからです。	接続詞BecauseやAsを消した後、Thereを消さずに残すのがポイントです。
分詞構文	慣用表現「～から判断すると」を意味する分詞構文の正しい形はどれですか？	Judging from	Judging by	Considered from	Speaking from	「〜から判断すると」という意味で、主語に関わらず熟語のように固定化された慣用表現だからです。	Judging from his appearance（外見から判断すると）などのように、文頭でよく使われます。
分詞構文	「厳密に言えば、彼は先生ではない」とする際の、正しい慣用表現はどれですか？	Strictly speaking	General speaking	Strictly spoken	Strictly to speak	「厳密に言えば」という意味を持つ、独立分詞構文から派生した決まった表現だからです。	独立分詞構文の慣用表現は、文全体の主語と一致していなくても使える便利な表現です。
分詞構文	「～と言えば」という話題を導入する際、( )に入る適切な表現はどれですか？「( ) flowers, I like roses.」	Talking of	Telling of	Calling of	Speaking with	特定の話題について「～と言えば」と言い出す時の、決まった分詞構文の表現だからです。	Speaking of ～ も全く同じ意味で使われます。会話の話題を変える際によく使われるフレーズです。
分詞構文	慣用表現「年齢のわりには、彼女は若く見える」の( )に入る適切な語はどれですか？「( ) her age, ...」	Considering	Judging	Speaking	Strictly	「～を考慮すると（～のわりには）」という意味を持つ、分詞から作られた慣用表現だからです。	相手の事情や特定の条件を考慮に入れる際に使われる、前置詞のような働きをする表現です。
分詞構文	「一度も海外へ行ったことがないので、そこへ行ってみたい」という完了形と否定を組み合わせた正しい語順はどれですか？	Never having been abroad	Not been abroad	Never being abroad	Having not been abroad	完了形の分詞構文を否定する場合、neverやnotをhavingの直前に置くというルールがあるからです。	否定語を置く位置は常に「分詞のカタマリの一番先頭」であると覚えておきましょう。
分詞構文	「先生に嘘をつかれたけれど、ケンは彼女を信じました」とする際、( )に適する語は何ですか？	Being told	Telling	To be told	Having told	「嘘をつかれる」という受動の関係を表すため、受動態の分詞構文（Being ＋ 過去分詞）にする必要があるからです。	接続詞Thoughが省略された形です。受け身のBeingは省略してToldから始めても正解となります。
分詞構文	「率直に言って、君は間違っている」とする際、( )に入る表現はどれですか？	Frankly speaking	To be frank	In fact	To tell the truth	「率直に言えば」という意味の分詞の慣用表現で、文全体を修飾する役割をしているからです。	不定詞のTo be frank with youと同じ意味ですが、分詞構文の形でも非常によく使われます。
分詞構文	接続詞の「意味をはっきりさせる」ために、あえて接続詞を消さずに残す分詞構文の形として正しいのはどれですか？	Though living alone	Though live alone	Thinking living alone	As living alone	譲歩（～だけれども）などの意味を強調したい場合、分詞の前に接続詞を置いたままにすることがあるからです。	BeforeやAfter、Whileなども、時間の流れを明確にするために接続詞が残されることがよくあります。
分詞構文	「～をすべて考慮に入れると、彼はよくやった」という慣用表現の正しい語順はどれですか？	All things considered	Considered all things	All things considering	Considering all things	「すべてのことが考慮されると」という独立分詞構文が慣用句となった、決まった表現だからです。	考慮される対象（all things）が「される」側なので、過去分詞のconsideredが使われています。
関係代名詞	「あそこで走っている男性は私の叔父です」の（ ）に入る語はどれですか？「The man ( ) is running there is my uncle.」	who	whom	whose	which	先行詞が「人」で、後ろの節で主語の役割を果たす主格の関係代名詞が必要だからです。	関係代名詞の後ろにすぐ動詞が続く場合は主格を選びます。主格のwhoはthatで書き換えることも可能です。
関係代名詞	「これは英語の文法を説明している本です」の（ ）に入る語はどれですか？「This is a book ( ) explains English grammar.」	which	who	whom	whose	先行詞が「物（本）」で、後ろの節で主語の役割をする主格の関係代名詞だからです。	先行詞が物や動物の場合、主格にはwhichを用います。whoは人にしか使えないため間違いです。
関係代名詞	「私が駅で会った少女はリエです」の（ ）に入る、目的語の役割をする語はどれですか？「The girl ( ) I met at the station is Rie.」	whom	whose	which	what	先行詞が「人」で、met（会った）の目的語（誰に）の役割をする目的格の関係代名詞だからです。	目的格ではwhomが正式ですが、口語ではwhoが使われたり、関係代名詞自体が省略されたりすることも多いです。
